keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
3DFlexible Inc,3DFLEXIBLE INC,ZZKFKXNTMMA3,7SRV9,"11008 Chelsea WAY,Laurel, Maryland,20723-1097, United States","11008 Chelsea WAY,Laurel, Maryland,20723-1097, United States",,"Sep 9, 2016","Donghun Park, Dr.","Warren N. Herman, Chief Technology Advisor","Maryland, United States",Maryland 03
"InventWood, LLC",INVENTWOOD INC.,LA9LCVM7HMK5,7PWF8,"5971 Jefferson Station CT STE 100,Frederick, Maryland,21703-1458, United States","5971 Jefferson Station CT STE 100,Frederick, Maryland,21703-1458, United States",https://inventwood.com/,"Sep 3, 2016","Regina Williams, Director, Accounting","Regina Williams, Director, Accounting","Delaware, United States",Maryland 06
"Airgility, Inc.","AIRGILITY, INC",JD35KEUVYS94,84FZ5,"5145 Campus DR,Suite 1132,College Park, Maryland,20742-0001, United States","5145 Campus Drive,Suite 1132,College Park, Maryland,20742, United States",https://www.airgility.co/,"Apr 13, 2017","Pramod B Raheja, Mr.","Pramod B Raheja, Mr.","Delaware, United States",Maryland 04
Door Robotics,INFINITY ROBOTICS LLC,PAQ4J71FTNY1,98Z47,"5505 W 123RD ST,Door D STE 540,Savage, Minnesota,55378-1299, United States","5505 W 123RD ST,Door D STE 540,Savage, Minnesota,55378-1299, United States",https://infinityrobotics.com/,"Jul 9, 2019",David V Neville,David S Lacher,"Minnesota, United States",Minnesota 02
Games for Change,"GAMES FOR CHANGE, INC.",DF9JAM815C18,6GZR3,"335 Madison AVE STE 4L,New York, New York,10017-4611, United States","335 Madison AVE STE 4L,New York, New York,10017-4611, United States",https://www.gamesforchange.org/,"Jun 8, 2004",Kimberly Almanzor,Kimberly Almanzor,"New York, United States",New York 12MPLEX,,,,"6899 PEACHTREE INDUSTRIAL BLVD,BERKELEY LAKE, GA,30092-3621, USA",,,,,,,
Quidient,"QUIDIENT, LLC",Z4Z7DHN15824,7N7H3,"7012 Sycamore LN,Easton, Maryland,21601-9708, United States","7142 Columbia Gateway Drive,Suite 140,Columbia, Maryland,21046, United States",https://www.quidient.com/,"May 29, 2014","Brandon B Turley, Director Ops & CFO","Christopher Dorsey, General Counsel & CIPO","Delaware, United States",Maryland 01
AMPX Technologies Inc.,"AMPX TECHNOLOGIES, INC.",J1T8EM6N9AE5,81C97,"4467 Technology Drive RM 3125,College Park, Maryland,20742-0001, United States","4467 Technology DR RM 3125,College Park, Maryland,20742, United States",,"Jan 18, 2018",Alireza Khaligh,Zeyu Zhang,"Maryland, United States",Maryland 04
"Electro-Media Design, Ltd.",ELECTRO-MEDIA DESIGN LTD,FRDDXKG3BDJ9,07EP7,"973 Russell AVE,STE C,Gaithersburg, Maryland,20879-3292, United States","973 Russell AVE STE C,Gaithersburg, Maryland,20879-3292, United States",http://www.electro-media.com/,"Jan 1, 1990",Robert C Hendricks,Robert Hendricks,"Maryland, United States",Maryland 06
"Vortex Space Systems, LLC","VORTEX SPACE SYSTEMS, LLC",M2A2NQ91DNM9,8LWZ1,"24225 Welsh RD,Gaithersburg, Maryland,20882-3929, United States","24225 Welsh RD,Gaithersburg, Maryland,20882, United States",,"Dec 31, 2018","Dennis S. Lee, Owner","Dennis S. Lee, Owner","Maryland, United States",Maryland 06
"Campostella Research and Consulting, LLC",CAMPOSTELLA RESEARCH AND CONSULTING LLC,YPL3PSFKSJ49,(blank),"134 Ike DR,Alexandria, Virginia,22314-4594, United States","134 Ike DR,Alexandria, Virginia,22314-4594, United States",,"May 18, 2020",Eva M Campo,Eva M Campo,"Virginia, United States",Virginia 08
"Repurpose Farm Plastic, Inc.",,,,"108 LAKELAND AVE,DOVER, DE,19901-5109, USA",,,,,,,
"Smart HLPR, LLC","SMART HLPR, LLC",GXVCMTLKZP96,88CE6,"160 Streamwood RD,Troutman, North Carolina,28166-8825, United States","160 Streamwood RD.,Troutman, North Carolina,28166, United States",,"Apr 27, 2018","Roger V Bostelman, Dr.",Roger Bostelman,"Maryland, United States",North Carolina 10
Move And Still LLC,"ON THE MOVE CONTRACTING SERVICES, LLC",KMJXNNTTC5L4,68XU1,"18 Green Pine LN,Webster, New York,14580-8963, United States","18 Green Pine Lane,Webster, New York,14580-8963, United States",http://www.onthemovecontractingservices.com/,"Dec 1, 2009","MAAT REED, PRESIDENT",MAAT REED,"New York, United States",New York 25
RemBac Environmental,"REMBAC ENVIRONMENTAL, LLC",ESU1JMK4DYJ4,8CCL6,"3140 Edgewood RD,Ellicott City, Maryland,21043-3420, United States","3140 Edgewood RD,Ellicott City, Maryland,21043-3420, United States",https://www.rembac.com/,"Aug 31, 2017",Kevin R Sowers,Kevin R Sowers,"Maryland, United States",Maryland 03
Lensguide Imaging Technology Inc.,LENSGUIDE IMAGING TECHNOLOGY INC,VGLLXNMDNHQ5,872N0,"707 Anderson AVE,Rockville, Maryland,20850-2104, United States","707 Anderson AVE,Rockville, Maryland,20850-2104, United States",,"Oct 18, 2018","Mohammad Amin Tadayon, CEO and President","Mohammad Amin Tadayon, CEO and President","Delaware, United States",Maryland 08
"OraBiotech, LLC","ORABIOTECH, LLC",KF5LQ1X8QF87,92NV4,"1911 Billabong LN,Chapel Hill, North Carolina,27516-9753, United States","1911 Billabong LN,Chapel Hill, North Carolina,27516-9753, United States",,"Jun 18, 2021","Rishma Shah, Dr","Rishma Shah, Dr","North Carolina, United States",North Carolina 04
Syzygy Optics Inc.,SYZYGY OPTICS LLC,EVVCNB5YZUS3,(blank),"536 Meadow Run,Chapel Hill, North Carolina,27517-8022, United States","536 Meadow Run,Chapel Hill, North Carolina,27517, United States",,"Jan 7, 2010",Mike Sullivan,Mike Sullivan,"North Carolina, United States",North Carolina 09
"Resilient Lifescience, Inc.","RESILIENT LIFESCIENCE, INC",TCT3X4JFLTP8,9GAD4,"100 S Commons,Pittsburgh, Pennsylvania,15212-5359, United States","100 S Commons,#102,Pittsburgh, Pennsylvania,15212, United States",https://www.resilient.bio/,"Apr 22, 2022","Bradford Holden, CEO","Bradford Holden, CEO","Delaware, United States",Pennsylvania 12
"PFF, LLC","PFF, LLC",P25AZ6WDJ589,7SXE9,"7811 Hubble DR,Lanham, Maryland,20706-2494, United States","7811 Hubble DR,Lanham, Maryland,20706-2494, United States",,"Nov 16, 2016","Cassandra Lacey, CEO","Cassandra Lacey, CEO","Maryland, United States",Maryland 04
"Assure Technologies, LLC","ASSURE MEDICAL TECHNOLOGIES, INC.",MHJUNMMNSN47,82D85,"200 Butternut DR,Chapel Hill, North Carolina,27514-1615, United States","200 Butternut DR,Chapel Hill, North Carolina,27514-1615, United States",,"Feb 1, 2018",Stephen Eckel,Stephen Eckel,"Delaware, United States",North Carolina 04
"Predictive, LLC",,,,"412 SHELLCASTLE RD,ROCKY MOUNT, NC,27804-7709, USA",,,,,,,
Wave Welcome,WAVE WELCOME LLC,K6U9KE5XD7B1,62YN7,"6307 Hickory Bnd,Clinton, Maryland,20735-9588, United States","6307 Hickory Bend,Clinton, Maryland,20735-9588, United States",https://www.wavewelcome.com/,"Jun 10, 2020","Janelle Wright, CEO","Janelle Wright, CEO","Maryland, United States",Maryland 05
Nervosys,NERVOSYS LLC,WSHDCNQPGPC9,9XZL7,"100 N Howard ST STE R,Spokane, Washington,99201-0508, United States","100 N Howard ST STE R,Spokane, Washington,99201-0508, United States",https://nervosys.ai/,"Aug 16, 2022","Adam M Erickson, Dr.","Adam M Erickson, Dr.","Washington, United States",Washington 05
VETTA Solutions Inc,VETTA SOLUTIONS INC.,XP7KJNLQRFP3,(blank),"2140 S Dupont HWY,Camden, Delaware,19934-1249, United States","6409 Fayetteville RD,STE 120-173,Durham, North Carolina,27713-6297, United States",,"Jan 9, 2023",Elizabeth Bjornsen,Elizabeth Bjornsen,"Delaware, United States",Delaware 00
"Second Star Robotics, LLC",SECOND STAR ROBOTICS LLC,U1NSNPBC3J14,8SAS7,"2333 Distribution CIR,Silver Spring, Maryland,20910-1261, United States","2333 Distribution CIR,Silver Spring, Maryland,20910-1261, United States",https://www.secondstarrobotics.com/,"Sep 1, 2019","Eric Berkenpas, Partner","Eric Berkenpas, Partner","Virginia, United States",Maryland 08
"Freshmeet U., Inc","FRESHMEET U., INC.",HV1DC9MV4F17,939Y3,"20 Goldsborough WAY,Reisterstown, Maryland,21136-6443, United States","20 Goldsborough WAY,Reisterstown, Maryland,21136-6443, United States",https://www.freshmeetu.com/who-is-fmu/,"Sep 1, 2014","Crystal Smith, Partner","Crystal Smith, Partner","Maryland, United States",Maryland 02
Liatris Inc.,LIATRIS INC.,PJ9WKMRVDDX6,87NV6,"5640 Fishers Lane,Suite D,Rockville, Maryland,20852-1737, United States","5640 Fishers Lane,Suite D,Rockville, Maryland,20852, United States",https://www.liatris.biz/,"Mar 23, 2018","Frank Yang, Mr","Riley Engels, Mr","Delaware, United States",Maryland 08
"miRecule, Inc.","MIRECULE, INC.",D2DDKPAALJR3,7KWU3,"704 Quince Orchard RD,Gaithersburg, Maryland,20878-1751, United States","704 Quince Orchard RD,Suite 140,Gaithersburg, Maryland,20878-1751, United States",,"Feb 6, 2016","Anthony D Saleh, CEO","Anthony D Saleh, CEO","Maryland, United States",Maryland 06
Opal HTM,"OPAL HTM, INC.",KW2NMJ1EGY69,7ZQ90,"1623 W Fulton ST,Chicago, Illinois,60612-2507, United States","PO Box 104,Pomfret, Maryland,20675, United States",https://www.opalhtm.com/,"Jun 2, 2021","Connor Roberts, CEO","Connor Roberts, CEO","Delaware, United States",Illinois 07
RedShred,"REDSHRED, LLC",GU8RZGZXU5K7,766U3,"5520 Research Park DR STE 100,Catonsville, Maryland,21228-4851, United States","5520 Research Park Drive,Suite 100,Baltimore, Maryland,21228-4851, United States",https://redshred.com/,"Apr 29, 2014",Jeehye Yun,"James Kukla, CTO","Maryland, United States",Maryland 07
"Sonavex, Inc.",SONAVEX INC,EFQ8AGCC5HK7,70ZR7,"2835 Odonnell ST,STE 200,Baltimore, Maryland,21224-4994, United States","2835 O'donnell ST,Suite 200,Baltimore, Maryland,21224-4994, United States",,"Mar 2, 2015",David Narrow,David Narrow,"Delaware, United States",Maryland 07
Nicelle Technologies LLC,NICELLE TECHNOLOGIES INC,UYWZM8MHL2W7,9SKT1,"2140 S Dupont HWY,Camden, Delaware,19934-1249, United States","PO Box 37236,Raleigh, North Carolina,27627, United States",https://nicelletech.com/,"Oct 30, 2023",Cheryl T Wooten,Cheryl T Wooten,"Delaware, United States",Delaware 00
