keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
"N5 Sensors, Inc.",N5 SENSORS INC,DPHWXD86RNS4,6NMY3,"9605 Medical CTR DR,STE 200,Rockville, Maryland,20850-6359, United States","9605 Medical Center DR STE 200,Rockville, Maryland,20850-6356, United States",http://www.n5sensors.com/,"Jan 26, 2012",Abhishek Motayed,Abhishek Motayed,"Maryland, United States",Maryland 08
UCleaner L.L.C.,UCLEANER L.L.C.,PP19DXAKLRD4,9WZY4,"6751 Columbia Gateway DR STE 300,Columbia, Maryland,21046-3138, United States","1405 S Fern ST,#524,Arlington, Virginia,22202, United States",,"Aug 3, 2022",Sam Choe,Sam Choe,"Virginia, United States",Maryland 03
Alirtify,ALIRTIFY LLC,XUBEZ7SEAEN9,99RS4,"118 N Market ST,Frederick, Maryland,21701-6621, United States","219 Harpers WAY,Frederick, Maryland,21702-3097, United States",https://alirtify.com/,"Feb 7, 2019",Kwabena Okrah,Kwabena Okrah,"Maryland, United States",Maryland 06
Blimp Logistics,,,,,,,,,,,
Hyve,,,,"2 KINGDOM STREET,LONDON,W2 6JG, GBR",,,,,,,
Hyve,,,,"4950 West 2400 S,null,Wellsville, UT,84339, USA",,,,,,,
Hyve,,,,"36434 TANSY CT,LAKE ELSINORE, CA,92532-2661, USA",,,,,,,
Hyve,HYVE INNOVATE GMBH,LB6SWHSLM6X3,CNE11,"SCHELLINGSTR. 45,München,80799, Germany","Schellingstrasse 45,Munich,80799, Germany",https://www.hyve.net/,"Aug 10, 2004","Niclas Kroeger, Operations Lead",Gerd Schwarz,"(blank), Germany",Not Applicable
PrecNA LLC,"PRECNA, LLC",YS3CA2D413F5,97WS7,"14724 Latakia PL,North Potomac, Maryland,20878-2545, United States","14724 Latakia Place,North Potomac, Maryland,20878-2545, United States",https://www.precna.com/,"Jun 24, 2021",Michael Gaitan,Michael Gaitan,"Maryland, United States",Maryland 08
NanoBiofab,"TAO TREASURES, LLC",E1Y9Z246LAU8,7T6V7,"8906 Remington PL,Frederick, Maryland,21701-7636, United States","8906 Remington PL,Frederick, Maryland,21701-7636, United States",,"May 30, 2015",Xiaonao Liu,Xiaonao Liu,"Maryland, United States",Maryland 06
"Ambay Immune Sensors and Controls, LLC","AMBAY IMMUNE SENSORS AND CONTROLS, LLC",YJKMSJL1EJ75,59LH5,"20140 Scholar DR STE 118,Hagerstown, Maryland,21742-6548, United States","20140 Scholar DR STE 118,Hagerstown, Maryland,21742-6548, United States",,"Jan 22, 2008",Meena Chandok,Meena Chandok,"Maryland, United States",Maryland 06
Greener Box Inc.,"STRIBLING EQUIPMENT, LLC",V4J2K28WU7L5,0S8K1,"415 Highway 49 S,Richland, Mississippi,39218-9496, United States","P O Box 6038,Jackson, Mississippi,39288-6038, United States",,"Jan 1, 2002","JACK WHITE, Corporate Information Services Manager","JASON S GREENER, Vice President Product Support","Mississippi, United States",Mississippi 03
Greener Box Inc.,"EMPIRE TRUCK SALES, LLC",H6N5RAD8FUB5,37CG4,"373 Highway 49 S,Richland, Mississippi,39218-9439, United States","P.O. Box 54325,Jackson, Mississippi,39288-4325, United States",https://www.empiretruck.com/,"Apr 21, 1983","Jason Greener, Chairman of the Board","David Wilson, Director of Credit and Customer Service","Mississippi, United States",Mississippi 03
Greener Box Inc.,GREENER PARTNERS,SDPDCM98PGN1,6F4B4,"3215 Stump Hall RD,Collegeville, Pennsylvania,19426-1410, United States","PO Box 221,Fairview Village,Norristown, Pennsylvania,19409, United States",https://www.greenerpartners.org/,"May 1, 2008",Jeannette Fournier,Jeannette Fournier,"Pennsylvania, United States",Pennsylvania 04
Greener Box Inc.,GREENER WORLD A,QD8LCE33NMN3,836D7,"8154 11TH ST,Terrebonne, Oregon,97760-9415, United States","PO Box 115,Terrebonne, Oregon,97760, United States",https://agreenerworld.org/,"Nov 1, 2016","Julie Walker, Director of Operations","Emily Moose, Executive Director","Oregon, United States",Oregon 05
Greener Box Inc.,BOX ELDER COUNTY SCHOOL DISTRICT,H523JVHBH656,4FTU6,"960 S Main ST,Brigham City, Utah,84302-2714, United States","960 S Main ST,Brigham City, Utah,84302-2714, United States",http://www.besd.net/,"Jul 1, 1911",Sherri Harper,"David A Roberts, Business Administrator","(blank), (blank)",Utah 01
