keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
VETTA Solutions,VETTA SOLUTIONS INC.,XP7KJNLQRFP3,(blank),"2140 S Dupont HWY,Camden, Delaware,19934-1249, United States","6409 Fayetteville RD,STE 120-173,Durham, North Carolina,27713-6297, United States",,"Jan 9, 2023",['Elizabeth Bjornsen'],"Delaware, United States",Delaware 00
Fernleaf,STEPHANIE SANDEL,JAKYYFTPNB35,(blank),"35 Fernleaf TRL,Narragansett, Rhode Island,02882-2521, United States","35 Fernleaf Trail,Narragansett, Rhode Island,02882-2521, United States",,"Jan 2, 2001",['Stephanie Sandel'],"(blank), (blank)",Rhode Island 02
Fernleaf,LORRIE CRAWFORD INC,D8FCU4V6XTS3,8KDL7,"1708 Fernleaf CIR NW,Atlanta, Georgia,30318-1418, United States","1708 Fernleaf CIR NW,Atlanta, Georgia,30318-1418, United States",,"Sep 10, 2009",['Lorrie Crawford'],"Georgia, United States",Georgia 05
Fernleaf,LEE-ATM LLC,MV1MQZJVMCK3,6XSZ5,"604 Fernleaf AVE,Capitol Heights, Maryland,20743-6002, United States","604 Fernleaf AVE,Capitol Heights, Maryland,20743-6002, United States",,"Nov 9, 2012",['Wakysha Lee'],"Maryland, United States",Maryland 04
Fernleaf,ACE CAPITAL ENGINEERING,GWJ6PPJY35J5,8LQC7,"21771 Fernleaf DR,Lake Forest, California,92630-6095, United States","21771 Fernleaf DR,Lake Forest, California,92630-6095, United States",https://www.acecapitaleng.com/,"Sep 10, 2018","['Ali Mohammadi', 'Rana Allafchian']","California, United States",California 40
Fernleaf,"B.DIGITAL CONSULTING, LLC",QKAJX716NHZ9,95BU8,"222 SW Fernleaf TRL,Port St Lucie, Florida,34953-8212, United States","222 SW Fernleaf Trail,Port St Lucie, Florida,34953, United States",https://bdigital.social/,"Feb 18, 2021",['Bridgette Daley'],"Florida, United States",Florida 18
Fernleaf,CHIRPN INC,XQX8BZCAMGB5,8XLC8,"676 Fernleaf DR,Milpitas, California,95035-7990, United States","676 Fernleaf DR,Milpitas, California,95035-7990, United States",https://www.chirpn.com/,"Jan 20, 2015",['Vikas Batra'],"California, United States",California 17
Fernleaf,CONSUELO VICTOR,CJBQA2CFTET7,98XL3,"10257 Fernleaf DR,Moreno Valley, California,92557-2848, United States","10257 Fernleaf DR,Moreno Valley, California,92557, United States",https://cpnotaryservices.com/,"Jul 28, 2020",['Consuelo Victor'],"California, United States",California 41
Fernleaf,,,,"7806 Fernleaf Dr,Orlando, FL,32836-3747, USA",,,,[],,
Fernleaf,,,,"613 FERNLEAF AVENUE,CAPITOL HEIGHTS, MD,20743-6009, USA",,,,[],,
Fernleaf,FERNLEAF INTERACTIVE LLC,QFKPGW2SD6Z9,85SM2,"1 Haywood ST STE 401,Asheville, North Carolina,28801-2889, United States","1 Haywood ST, STE 445,Asheville, North Carolina,28801-2880, United States",,"Mar 13, 2014",['Sealy Stanley'],"North Carolina, United States",North Carolina 11
AxNano,AXNANO LLC,NMDVSFDSVCB4,6NXP3,"2901 E Gate City BLVD,STE 2200,Greensboro, North Carolina,27401-4901, United States","2901 E Gate City BLVD,STE 2200,Greensboro, North Carolina,27401-4901, United States",https://www.axnano.com/,"Aug 16, 2011","['Doug Speight', 'Alexis Carpenter']","Delaware, United States",North Carolina 06
Neuroene Therapeutics,NEUROENE THERAPEUTICS INC,FE9HTJ2TLGY5,7EGQ1,"3 Torrance CT,Kensington, Maryland,20895-2842, United States","3 Torrance CT,Kensington, Maryland,20895-2842, United States",,"Jan 1, 2022",['Sherine Chan'],"Delaware, United States",Maryland 08
ProVision,"PROTON THERAPY CENTER LLC, THE",XLH5EVMLWLD9,71RU9,"6450 Provision Cares WAY,Knoxville, Tennessee,37909-2544, United States","Provision Center For Proton Therapy,6450 Provision Cares WAY,Knoxville, Tennessee,37909-2544, United States",http://www.provisionproton.com/,"Feb 5, 2010","['Sherri Forester', 'Robert Vincill']","Tennessee, United States",Tennessee 02
ProVision,,,,"51 QUEEN AVE,ENOLA, PA,17025-2339, USA",,,,[],,
ProVision,,,,"5569 WENONAH DR,DALLAS, TX,75209-5521, USA",,,,[],,
ProVision,,,,"3006 GLENDALE AVE,DURHAM, NC,27704-3022, USA",,,,[],,
ProVision,,,,"1264 S VIRGINIA ST,RENO, NV,89502-2802, USA",,,,[],,
ProVision,,,,"15400 GRAND RIVER AVE STE 17,DETROIT, MI,48227-4124, USA",,,,[],,
ProVision,,,,"1108 VALMAR ST,null,LITTLE ROCK, AR,72204-2174, USA",,,,[],,
ProVision,,,,"5458 E BROAD ST,GIBBSTOWN, NJ,08027, USA",,,,[],,
ProVision,,,,"4823 INDIO TRL,LAKE WORTH, FL,33467-7413, USA",,,,[],,
ProVision,,,,"204 N WEST ST,ROCKWALL, TX,75087-3002, USA",,,,[],,
SafetySpect,SAFETYSPECT INC,VF8ZC4A4ZWL9,7YNG7,"4200 James Ray DR,Grand Forks, North Dakota,58202-6090, United States","4200 James Ray Drive,Grand Forks, North Dakota,58202, United States",https://www.safetyspect.com/,"Aug 5, 2016","['Kenneth Barton', 'Fartash Vasefi', 'Shea Olson']","Delaware, United States",North Dakota 00
BioSieve,,,,"867 ASHBURY ST APT 2,SAN FRANCISCO, CA,94117-4445, USA",,,,[],,
Medonect,"MEDONECT THERAPEUTICS, INC.",WMHJS3TMZN45,8R4D3,"3360 E Foothill BLVD APT 446,Pasadena, California,91107-6068, United States","3360 E Foothill BLVD APT 446,Pasadena, California,91107-6068, United States",,"Jun 24, 2019",['Ziad Gerges'],"California, United States",California 27
Radiant Dx Inc,RADIANT DX INC.,U6TJRX9B3FX5,9NJU1,"5604 Centennial DR,Durham, North Carolina,27712-1236, United States","5604 Centennial DR,Durham, North Carolina,27712-1236, United States",,"Jun 21, 2023",['Steven Metzger'],"Delaware, United States",North Carolina 04
