keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
Brian Lewis,LEWIS LIFE AND HEALTH AGENCY LLC,JVATEB3BEQ46,944Q4,"5005 Threechopt RD,Newport News, Virginia,23605-1459, United States","5005 Threechopt RD,Newport News, Virginia,23605-1459, United States",https://www.lewislifeandhealth.com/,"Nov 17, 2020",Brian Lewis,Brian Lewis,"Virginia, United States",Virginia 03
Brian Lewis,LEWIS BROTHERS INC,SBV8LL4AKML9,30GS7,"4847 Left Fork Maces Creek RD,Viper, Kentucky,41774-8448, United States","4847 Left Fork Maces Creek RD,Viper, Kentucky,41774, United States",,"Sep 28, 2000","Brian Lewis, President",Brian Lewis,"Kentucky, United States",Kentucky 05
Brian Lewis,"LEWIS, BRIAN",L5HWEDB9E957,73T31,"205 Oliver DR,Anadarko, Oklahoma,73005-6101, United States","205 Oliver DR,Anadarko, Oklahoma,73005-6101, United States",,"Apr 13, 2012","Brian Lewis, Owner","Brian Lewis, Owner","Oklahoma, United States",Oklahoma 03
Brian Lewis,LF BIOENERGY,CXMTRQ9ZZ723,(blank),"2950 N Harwood ST,STE 2200,Dallas, Texas,75201-1628, United States","2950 N Harwood ST.,Suite 2200,Dallas, Texas,75201, United States",,"Oct 19, 2022",Brian Lewis,Brian Lewis,"Delaware, United States",Texas 30
Brian Lewis,"SISU OKLAHOMA, LLC",K2HULJ9MRVK1,821T4,"1222 E Washington AVE,Mcalester, Oklahoma,74501-4922, United States","1222 E Washington AVE,Mcalester, Oklahoma,74501-4922, United States",https://www.crossfitmcalester.com/,"Sep 4, 2013",Brian Lewis,Brian Lewis,"Oklahoma, United States",Oklahoma 02
"Fzata, Inc.",FZATA INC,SLGDVHJS1Y85,7HCP9,"1450 S Rolling RD,Halethorpe, Maryland,21227-3863, United States","1450 S Rolling RD,Halethorpe, Maryland,21227-3863, United States",,"Oct 6, 2015","Zhiyong Yang, CEO","Zhiyong Yang, CEO","Delaware, United States",Maryland 07
Gloria Zhang,"ASCENDING, INC.",N2VULU7Z6JY5,8KV57,"2751 Prosperity AVE STE 240,Fairfax, Virginia,22031-4342, United States","2751 Prosperity AVE,STE 240,Fairfax, Virginia,22031, United States",https://www.ascendingdc.com/,"Jul 16, 2018","Gloria Zhang, V.P., Operations","Gloria Zhang, V.P., Operations","Virginia, United States",Virginia 11
GWSchED,"ASCENDING, INC.",N2VULU7Z6JY5,8KV57,"2751 Prosperity AVE STE 240,Fairfax, Virginia,22031-4342, United States","2751 Prosperity AVE,STE 240,Fairfax, Virginia,22031, United States",https://www.ascendingdc.com/,"Jul 16, 2018","Gloria Zhang, V.P., Operations","Gloria Zhang, V.P., Operations","Virginia, United States",Virginia 11
GWSchED,"ABVISION, INC.",DNKDTYGS6ZE7,8MQA8,"2600 Faretto LN,Reno, Nevada,89511-4603, United States","2600 Faretto LN,Reno, Nevada,89511, United States",https://www.abvisioninc.com/,"Feb 6, 2018","Archana Gangakhedkar, Business Development Manager","Archana Gangakhedkar, Business Development Manager","Nevada, United States",Nevada 02
GWSchED,BIOVISION INC.,CJ7LQL8M1J61,48G35,"155 S Milpitas BLVD,Milpitas, California,95035-5425, United States","155 S. Milpitas BLVE.,Milpitas , California,95035-5425, United States",http://www.biovision.com/,"Apr 12, 1999",Elizabeth HAMILTON,ELIZABETH HAMILTON,"California, United States",California 17
JAB,"JAB-TEK, LLC",YT9GFZK4UDJ8,7WC20,"6120 River Shore PKWY,Atlanta, Georgia,30328-3745, United States","6120 Rivershore Parkway,Atlanta, Georgia,30328, United States",https://jab-tek.com/,"Jan 1, 2015","Melissa Jeska, President","Melissa Jeska, President","Georgia, United States",Georgia 06
JAB,,,,"2853 COPE RD,NORWAY, SC,29113-9166, USA",,,,,,,
JAB,,,,"2736 ROOKS RD,DAVENPORT, FL,33837-9620, USA",,,,,,,
JAB,,,,"3849 N SLATOR AVE,ODESSA, TX,79764-1315, USA",,,,,,,
JAB,,,,"643 S 1ST AVE,OTHELLO, WA,99344-1703, USA",,,,,,,
