keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
ProGress Industries LLC,"REHABILITATION SERVICE OF NORTH CENTRAL OHIO, INC.",Q5F4LA5LAH83,1W5G4,"270 Sterkel BLVD,Mansfield, Ohio,44907-1508, United States","270 Sterkel BLVD.,Mansfield, Ohio,44907-1508, United States",http://therehabcenter.org/,"Jun 18, 1955","['Barb Moore', 'Tammy Link', 'Nancy Dean', 'Cheryl Casler']","Ohio, United States",Ohio 12
ProGress Industries LLC,PROGRESS INDUSTRIES LLC,NSWWQLFT42J1,9ULL2,"1326 Greenbriar RD,York, Pennsylvania,17404-1210, United States","1326 Greenbriar RD,York, Pennsylvania,17404, United States",,"Jan 8, 2018",['David Gress'],"Pennsylvania, United States",Pennsylvania 10
Prompt Diagnostics,"PROMPT DIAGNOSTICS, INC.",L28FVGJ715D7,8TGK1,"2401 W Belvedere AVE,Schapiro Building Room 313,Baltimore, Maryland,21215, United States","2921 Huntingdon AVE,Baltimore, Maryland,21211, United States",https://prompt-dx.com/,"Jul 29, 2020",['Alexander Trick'],"Delaware, United States",Maryland 07
qMe,,,,"2262 W 17th Ave,null,Gary, IN,46404, USA",,,,[],,
Reconstruct,"RECONSTRUCT BIO, INC",XL2QREUL5XT8,(blank),"53 Maplewood AVE,Newton, Massachusetts,02459-2527, United States","53 Maplewood AVE,Newton, Massachusetts,02459-2527, United States",,"Jun 26, 2024",['Luba Perry'],"Delaware, United States",Massachusetts 04
Reconstruct,"RECONSTRUCT, INC.",EAJEWF8MDU89,7J4W7,"60 Hazelwood DR,Champaign, Illinois,61820-7460, United States","60 Hazelwood DR,Champaign, Illinois,61820-7460, United States",,"Dec 4, 2015","['Mani Golparvar', 'Derek Hoiem']","Delaware, United States",Illinois 13
"Vantage PT, LLC",COASTWATCH ENGINEERING LLC,PE47R8F9JJB9,98TJ5,"5435 Vantage Point RD,Columbia, Maryland,21044-2630, United States","5435 Vantage Pt RD,Columbia, Maryland,21044, United States",,"Jul 29, 2019",['Charles Klein'],"Maryland, United States",Maryland 07
"Vantage PT, LLC",,,,"2233 VANTAGE PT,APT 102,VIRGINIA BEACH, VA,23455-2151, USA",,,,[],,
"Vantage PT, LLC",CHAMPS SOFTWARE INC,FZCUA4C7DN29,0K9L6,"1255 N Vantage Point DR,Crystal River, Florida,34429-8730, United States","1255 N. Vantage PT. DR.,Crystal River, Florida,34429-8730, United States",http://www.champsinc.com/,"Dec 23, 1975","['Mike Melfi', 'Bryan Gay', 'Debby Minninni', 'Debby Mininni']","Florida, United States",Florida 12
videon,PAUL VIDEON INSULATION LLC,GEMNX34LKNU4,8TUB2,"209 NW Videon Gln,Lake City, Florida,32055-4997, United States","209 NW Videon Glen Lake CITY, FL 32055,Lake City, Florida,32055, United States",,"Nov 12, 2020",['Paul Videon'],"Florida, United States",Florida 03
videon,VIDEON CENTRAL INC,G4NCU48REWH3,1YXK5,"2171 Sandy DR,State College, Pennsylvania,16803-2283, United States","2171 Sandy Drive,State College, Pennsylvania,16803-2283, United States",http://www.videonlabs.com/,"Dec 1, 1997","['Tricia Iboshi', 'Calvin Bargo', 'Ashley Molek']","Delaware, United States",Pennsylvania 15
Zap,,,,"18000 STUDEBAKER RD,#700,CERRITOS, CA,90703-2684, USA",,,,[],,
Zap,,,,"30450 HAUN RD # 1084,MENIFEE, CA,92584-6810, USA",,,,[],,
Zap,,,,"188 WINDING WAY,SAN CARLOS, CA,94070-2815, USA",,,,[],,
Zap,,,,"200 PARIS LN APT 203,NEWPORT BEACH, CA,92663-1601, USA",,,,[],,
Zap,,,,"3400 COTTAGE WAY STE G2,SACRAMENTO, CA,95825-1474, USA",,,,[],,
Zap,,,,"2105 N 10TH ST,STE B,MCALLEN, TX,78501-4154, USA",,,,[],,
Zap,,,,"10077 JUBAN CROSSING BLVD,APT 307,DENHAM SPRINGS, LA,70726-7995, USA",,,,[],,
Zap,COYOTE CREEK TRUCKING LLC,RYN3HRURY8Z7,9QDD9,"6310 18TH ST SW,Zap, North Dakota,58580-1000, United States","6310 18TH ST SW,Zap, North Dakota,58580-1000, United States",,"Jun 3, 2022",['Tanner Erickson'],"North Dakota, United States",North Dakota 00
Zap,KAREN A QUINN LLC,TF13XME8Y5V3,8APJ6,"1120 Zap DR,Baraboo, Wisconsin,53913-9523, United States","1120 Zap DR,Baraboo, Wisconsin,53913-9523, United States",,"Feb 24, 2017",['Karen Quinn'],"Wisconsin, United States",Wisconsin 02
Zap,ZAP LAWN CARE,NTTMFJM7H6D5,7YP88,"4516 Wilson WAY,Gillette, Wyoming,82718-4032, United States","4516 Wilson WAY,Gillette, Wyoming,82718-4032, United States",https://www.zaplawncare.com/,"Feb 1, 2015",['Tony Didier'],"Wyoming, United States",Wyoming 00
"Titanium Infrastructure, LLC.",TITANIUM INFRASTRUCTURE LLC,X6U4CVYGMHQ5,81U26,"622 Kelley RD,Belington, West Virginia,26250-8395, United States","622 Kelley RD.,Belington, West Virginia,26250, United States",https://www.titanuminfrastructure.com/,"Apr 17, 2015",['Rachelle Channell'],"West Virginia, United States",West Virginia 02
"Titanium Infrastructure, LLC.",TEKTALOS CORP,SVSEP21FLXL9,86TD4,"622 Kelley RD,Belington, West Virginia,26250-8395, United States","622 Kelley RD.,Belington, West Virginia,26250, United States",https://www.tektalos.com/,"Jul 17, 2018",['Rachelle Channell'],"West Virginia, United States",West Virginia 02
TMM LLC,,,,"707 WHITLOCK AVE SW STE D33,null,MARIETTA, GA,30064-3083, USA",,,,[],,
TMM LLC,EOC JAPAN CORPORATION,TE8YABL7XFQ8,JA380,"1-10-5, Iwamotocho,Chiyoda-ku, Tokyo,101-0032, Japan","1-10-5, Iwamotocho,Tmm BLDG. 6F.,Chiyoda-ku, Tokyo,101-0032, Japan",,"Feb 1, 1978",['Hisoka Shinoda'],"(blank), Japan",Not Applicable
TMM LLC,"COMFORT ZONE SECURITY, PROTECTION AND INVESTIGATIONS, LLC",G56TG42571S3,4MEN0,"112 Point West BLVD STE 15,Saint Charles, Missouri,63301-4421, United States","P.O. Box 261,Wentzville, Missouri,63385, United States",https://www.comfortzsecurity.com/,"Jun 20, 2006",['Thomas Mitchell'],"Missouri, United States",Missouri 03
TMM LLC,"TMM FAMILY SERVICES, INC.",XV45AHM897V7,3W9Z6,"1550 N Country Club,Tucson, Arizona,85716-3152, United States","1550 N. Country Club Road,Tucson, Arizona,85716-3152, United States",http://www.tmmfs.org/,"Dec 28, 1979","['Christie Lee', 'Susan Hicks']","Arizona, United States",Arizona 06
TMM LLC,TMM DIRECT,VLS2MG4KA5V1,6JRV6,"5830 Natoma RD,Clover, South Carolina,29710-8527, United States","P.O. Box 239,Clover, South Carolina,29710-0239, United States",https://www.tmmdirect.com/,"Oct 8, 2003",['Jennifer Spitzer'],"South Carolina, United States",South Carolina 05
TMM LLC,TMM INTERNET MARKETER LLC,K5JGGS1BH513,9Y5T0,"430 Bald Eagle DR,Vacaville, California,95688-1022, United States","430 Bald Eagle DR,Vacaville, California,95688-1022, United States",,"May 19, 2020",['Tasha Mcglashan'],"California, United States",California 04
TMM LLC,"TMM CONSULTING, LLC",KGNXJA8FTPX1,5ZD51,"38414 Ditchling PL,Hamilton, Virginia,20158-9470, United States","38414 Ditchling Place,Hamilton, Virginia,20158-9470, United States",,"Mar 2, 2010","['Shaila Millman', 'Tom Millman']","Virginia, United States",Virginia 10
TMM LLC,"NATIVE ASSETS ACCOUNTING AND CONSULTING, LLC",EWSKZVFWSNP6,63X97,"180 Summerwinds RD,Box Elder, Montana,59521-8936, United States","PO Box 737,Havre, Montana,59501-0737, United States",https://www.nativeassetsaccounting.com/,"Oct 30, 2009","['Eleanor Yellowrobe', 'Vina Tmm']","Montana, United States",Montana 00
TMM LLC,MCCI CORPORATION,HZENER1TXW13,8NMN7,"3520 Krums Corners Road,Ithaca, New York,14850-9169, United States","3520 Krums Corners RD,Ithaca, New York,14850-9169, United States",https://mcci.com/,"Jul 1, 1995",['Terrill Moore'],"Delaware, United States",New York 19
TMM LLC,"TMM DATA, INC.",G7FEAK71HZG8,874S9,"200 Shady LN STE 100,Philipsburg, Pennsylvania,16866-1985, United States","200 Shady LN STE 100,Philipsburg, Pennsylvania,16866-1985, United States",https://www.tmmdata.com/,"Jul 7, 2015","['Darren Wagner', 'Robert Selfridge']","Delaware, United States",Pennsylvania 05
Trails Community LLC,BLUEBONNET TRAILS COMMUNITY MHMR CENTER,L7N9JCJ5HCX1,5CD42,"1009 N Georgetown ST,Round Rock, Texas,78664-3289, United States","1009 N. Georgetown Street,Round Rock, Texas,78664-3289, United States",http://bbtrails.org/,"Sep 1, 1997","['Molly Woodburn', 'Cara Mehrens']","(blank), (blank)",Texas 17
Truxtun,COUNTY OF KERN,LYM1ZJ6B7BM3,3JFA2,"1115 Truxtun AVE,FL 5,Bakersfield, California,93301-4629, United States","1115 Truxtun AVE 5TH Flr,Bakersfield, California,93301-4617, United States",https://www.kerncounty.com/,"Apr 2, 1866","['Amanda Ruiz', 'Aimee Espinoza', 'Kaler Ayala']","(blank), (blank)",California 22
Truxtun,KERN COUNTY COMMISSION ON AGING FOUNDATION,F7V2UDPEDE85,5JKR4,"5357 Truxtun AVE,Bakersfield, California,93309-0641, United States","5357 Truxtun AVE,Bakersfield, California,93309-0641, United States",,"Jul 1, 1999","['Jeremy Oliver', 'Maria Montoya']","(blank), (blank)",California 20
Truxtun,STRATA FEDERAL CREDIT UNION,S83HYKNY5HS3,(blank),"1717 Truxtun AVE,Bakersfield, California,93301-5110, United States","1717 Truxtun AVE,Bakersfield, California,93301-5110, United States",,"Feb 1, 1949","['Brenda O', 'Brandon Ivie']","California, United States",California 20
Truxtun,,,,"15909 SYCAMORE LN,ROCKVILLE, MD,20853-1458, USA",,,,[],,
Truxtun,COUNTY OF KERN,NQGBLFTTWSS9,1F5X1,"1115 Truxtun AVE,2ND Floor,Bakersfield, California,93301-4630, United States","1115 Truxtun AVE,2ND Floor,Bakersfield, California,93301-4639, United States",https://www.kcttc.co.kern.ca.us/,"Apr 2, 1866","['Brandon Carter', 'Chase Nunneley', 'Joebryne Cabahug', 'Jordan Kaufman', 'Aimee Espinoza']","(blank), (blank)",California 22
Truxtun,"LEE DEVELOPMENT GROUP, LLC",RH4YY69W8NC3,45SH3,"5601 Truxtun AVE STE 190,Bakersfield, California,93309-0627, United States","5601 Truxtun AVE STE 190,Bakersfield, California,93309-0627, United States",,"Feb 18, 1997","['Ann Wilkening', 'Gregory Bynum']","California, United States",California 23
Truxtun,MALASHOCK DANCE & COMPANY,RJ6KMMM2S563,4J5Q6,"2650 Truxtun RD,STE 104,San Diego, California,92106-6172, United States","2650 Truxtun RD,Suite 104,San Diego, California,92106-6172, United States",http://www.malashockdance.org/,"May 8, 1990","['Christopher Morgan', 'Molly Puryear']","California, United States",California 50
Truxtun,GUSTAVO LUNA,C9PZMFL99JJ5,91FB5,"930 Truxtun AVE STE 201,Bakersfield, California,93301-4700, United States","930 Truxtun AVE STE 201,Bakersfield, California,93301-4700, United States",https://www.kerntutoring.com/,"Jul 18, 2018",['Gustavo Luna'],"California, United States",California 23
Truxtun,SUPERIOR COURT OF CALIFORNIA COUNTY OF KERN,DCLCV4FGJ2E3,764T0,"1415 Truxtun AVE RM 212,Bakersfield, California,93301-5215, United States","1415 Truxtun AVE RM 212,Bakersfield, California,93301-5215, United States",http://www.kern.courts.ca.gov/,"Jan 1, 1960","['Travis Andreas', 'Jaqueline Santiago']","(blank), (blank)",California 22
Truxtun,BETHANY SERVICES,K9BMKJXEUTW7,3VBF1,"1600 E Truxtun AVE,Bakersfield, California,93305-5432, United States","1600 E Truxtun AVE,Bakersfield, California,93305-5432, United States",,"May 6, 1985","['Lauren Skidmore', 'Suzanne Robertson', 'Della Freeman']","California, United States",California 21
TSG Consulting,,,,"12606 Sagamore Forest Ln,null,Reisterstown, MD,21136, USA",,,,[],,
TSG Consulting,T S G CONSULTING LLC,F4YYB27V54N4,6W2B9,"118 Capitol Street FL 1,Charleston, West Virginia,25301-2614, United States","118 Capitol Street FL 1,Charleston, West Virginia,25301-2614, United States",,"Apr 5, 2005","['Rachel Coffman', 'Thomas Susman']","West Virginia, United States",West Virginia 02
TurnUp,,,,"64 LACONIA AVE,STATEN ISLAND, NY,10305-2414, USA",,,,[],,
TurnUp,,,,"30 N GOULD ST STE 39768,SHERIDAN, WY,82801-6317, USA",,,,[],,
TurnUp,"TURNUP, INC",L46CQJT9Y525,11J04,"1130 Piedmont AVE NE APT 905,Atlanta, Georgia,30309-3782, United States","1130 Piedmont Avenue Northeast,APT 905,Atlanta, Georgia,30309, United States",https://turnuptalent.ai/,"May 16, 2024",['Nicholas Swaminathan'],"Georgia, United States",Georgia 05
Terraforma Carbon LLC,TERRAFORMA CARBON LLC,MXTTV9J454M7,(blank),"119 S Burrowes ST,STE 703,State College, Pennsylvania,16801-3864, United States","119 S Burrowes ST,STE 703,State College, Pennsylvania,16801-3864, United States",,"Jul 26, 2023",['Brandon Schwartz'],"Pennsylvania, United States",Pennsylvania 15
Atlas Biotech,"ATLAS BIOLOGICS, LLC",N1CDHMCWRXF5,(blank),"200 Innovation BLVD STE 260A,State College, Pennsylvania,16803-6602, United States","200 Innovation BLVD STE 260A,State College, Pennsylvania,16803-6602, United States",https://atlasbio.tech/,"May 17, 2023",['Joshua Reynolds'],"Pennsylvania, United States",Pennsylvania 15
Ceretune LLC,CERETUNE LLC,ES4LSHSJW7J8,0QGK3,"196 S Jordans Chapel RD,Mount Olive, North Carolina,28365-7428, United States","196 S Jordans Chapel RD,Mount Olive, North Carolina,28365-7428, United States",https://www.ceretunellc.com/,"May 1, 2024",['Reid Barnett'],"North Carolina, United States",North Carolina 13
Code&Play,CODE&PLAY LLC,RCQ6HGBLVF98,97S03,"1746 Crofton PKWY,Crofton, Maryland,21114-2340, United States","1746 Crofton PKWY,Crofton, Maryland,21114-2340, United States",https://codeandplayclub.com/,"Aug 10, 2018",['Felipe Padua'],"Delaware, United States",Maryland 05
Composition Labs,COMPOSITION LABS LLC,MU3WGN3THEU3,10D81,"849 Fell ST,San Francisco, California,94117-2511, United States","849 Fell ST,San Francisco, California,94117, United States",,"Jul 3, 2024",['Noah Evers'],"Delaware, United States",California 11
CoPact,,,,"38 CRESTPOINT DR,NEW CASTLE, DE,19720-5668, USA",,,,[],,
Cultivate,CULTIVATE COLLECTIVE INC.,QSJFCHHCMSM5,(blank),"4942 W 44TH ST,Chicago, Illinois,60638-1900, United States","4942 W. 44TH ST.,Chicago, Illinois,60638, United States",,"Jan 27, 2022",['Paul Guilianelli'],"Delaware, United States",Illinois 04
Cultivate,,,,"450, FLANDERS AVE,null, null,null, USA",,,,[],,
Cultivate,,,,"62 LAKEVIEW TER APT A,BURLINGTON, VT,05401-2931, USA",,,,[],,
Cultivate,,,,"199 ALPINE DR SE,LEESBURG, VA,20175-6160, USA",,,,[],,
Cultivate,,,,"38 BENT TREE LN,PAWLEYS ISLAND, SC,29585-6017, USA",,,,[],,
Cultivate,,,,"1227 N PEACHTREE PKWY,PEACHTREE CITY, GA,30269-1743, USA",,,,[],,
Cultivate,,,,"704 MAIN ST,EVANSTON, IL,60202-1702, USA",,,,[],,
Cultivate,,,,"1585 SILVERSTONE TRL,APT 1,DE PERE, WI,54115-7916, USA",,,,[],,
Cultivate,,,,"512 MACDONOUGH ST APT 2,BROOKLYN, NY,11233-6684, USA",,,,[],,
Cultivate,,,,"5458 SUMMER SUNSET DR,APOLLO BEACH, FL,33572-2242, USA",,,,[],,
ESTAT Actuation,ESTAT ACTUATION INC,GNHZJY3VLDP5,8C1H2,"1028 Welfer ST,Pittsburgh, Pennsylvania,15217-2651, United States","1028 Welfer ST,Pittsburgh, Pennsylvania,15217-2651, United States",,"Apr 24, 2019",['Stuart Diller'],"Delaware, United States",Pennsylvania 12
Fabrisonic,"FABRISONIC, LLC",N53SQ9476Q64,6NX15,"7719 Graphics WAY STE A,Lewis Center, Ohio,43035-9667, United States","7719 Graphics WAY STE A,Lewis Center, Ohio,43035-9667, United States",http://www.fabrisonic.com/,"Jan 13, 2011","['Jason Riley', 'Angi Cox']","Ohio, United States",Ohio 04
Fathom,"FATHOM ARCHITECTURE, LLC",KR7ME2LRXBL1,13658,"1917 1ST AVE STE 201,Seattle, Washington,98101-1236, United States","1917 1ST AVE STE 201,Seattle, Washington,98101-1236, United States",https://www.fathom-architecture.com/,"May 14, 2018","['James Nance', 'Brad Fogle']","Washington, United States",Washington 07
Fathom,,,,"291 Main St,null,Hackensack, NJ,07601-5708, USA",,,,[],,
Fathom,"FATHOM, LLC",G51HCAWJMRX5,7T3S2,"25 Joseph ST APT 3,Somerville, Massachusetts,02143-3921, United States","10 Lorraine Drive,Londonderry, New Hampshire,03053, United States",,"Sep 4, 2015",['Alan Mceacharn'],"Massachusetts, United States",Massachusetts 07
Fathom,,,,"541 BATTLEVIEW DRIVE,SMYRNA, GA,30082-4479, USA",,,,[],,
Fathom,,,,"107 Southampton Ct,null,Goodlettsville, TN,37072-2134, USA",,,,[],,
Fathom,,,,"501 W BROADWAY STE 2020,SAN DIEGO, CA,92101-3548, USA",,,,[],,
Fathom,"FATHOM COMPUTING PBC, WHICH WILL DO BUSINESS IN CALIFORNIA AS FATHOM COMPUTING",HGQQU2CH72K6,89NT6,"380 Portage AVE,Palo Alto, California,94306-2244, United States","380 Portage AVE,Palo Alto, California,94306-2244, United States",,"Oct 29, 2014",['William Andregg'],"Delaware, United States",California 18
Fathom,"FATHOM LIGHT, INC.",PLW3UPGBWKB5,10Q28,"155 Larita DR,Ben Lomond, California,95005-9521, United States","155 Larita DR,Ben Lomond, California,95005-9521, United States",,"Jan 2, 2025",['Mathew Rekow'],"Delaware, United States",California 19
Fathom,FATHOM FINANCIAL CONSULTING LIMITED,MM9JH4822J91,U1ME9,"47 Bevenden Street,London,N1 6BH, United Kingdom","47 Bevenden Street,London,N1 6BH, United Kingdom",https://www.fathom-consulting.com/,"Oct 24, 2003",['Kevin Loane'],"(blank), United Kingdom",Not Applicable
