keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contacts,state_country_incorporation,congressional_district
Wait,STEVEN WAIT,XJDLKQQX9KB5,94YZ2,"3214 W Milton AVE,Saint Louis, Missouri,63114-2832, United States","1355 Layven Avenue,Florissant, Missouri,63031, United States",,"Mar 18, 2020",['Steven Wait'],"Missouri, United States",Missouri 01
Wait,"WAIT ROOFING & SEAMLESS GUTTER, INC.",RRDDULML8QB5,6BRS4,"1499 Beltline RD,Redding, California,96003-1409, United States","1499 Beltline RD.,Redding, California,96003-1409, United States",,"Nov 26, 1985",['Dan Wait'],"California, United States",California 01
Wait,PIN OAK FLAT CORPORATION,V4MTFTAW76E6,7ANL3,"21819 Wait TRL,Kirksville, Missouri,63501-7753, United States","21819 Wait TRL,Kirksville, Missouri,63501, United States",,"Jan 31, 1968",['Jerry Wait'],"Missouri, United States",Missouri 06
Wait,WAIT MECHANICAL INC,EFD4WY6N52C7,56U06,"7361 S Cooper ST,Arlington, Texas,76001-7011, United States","P O Box 150778,Arlington, Texas,76015-6778, United States",http://www.waitmechanical.com/,"Oct 1, 2001","['Gladys Wait', 'Jim Wait']","Texas, United States",Texas 25
Wait,"PLESS, NEOMA",M7GQBWWEJUG3,6XH17,"1064 W 5TH,Springfield, Colorado,81073-1217, United States","1064 W 5TH,Springfield, Colorado,81073-1217, United States",,"Jan 31, 2012",['Neoma Wait'],"Colorado, United States",Colorado 04
Wait,ROLLING THUNDER FARMS LLC,QW1PYBDXNLD1,91QJ2,"771 Main ST,Van Buren, Maine,04785-1501, United States","771 Main ST,Van Buren, Maine,04785-1501, United States",,"Apr 4, 2021",['Paul Wait'],"Maine, United States",Maine 02
Wait,BRW INC,DPUNKVY198V4,56D60,"6321 Forbing RD,Little Rock, Arkansas,72209-3533, United States","6321 Forbing Road,Little Rock, Arkansas,72209-3533, United States",,"Dec 13, 1988","['Bernard Wait', 'Beverly Wait']","Arkansas, United States",Arkansas 02
Wait,"METALCUT PRODUCTS, INC",XJG7H2S1TGL3,5WTM4,"1010 Marquette AVE,South Milwaukee, Wisconsin,53172-2511, United States","1010 Marquette AVE,South Milwaukee, Wisconsin,53172-2513, United States",https://metalcutproducts.com/,"Jun 1, 1965","['David Wait', 'Jason Wait']","Wisconsin, United States",Wisconsin 01
Wait,PALADIN CAREER & TECHNICAL HIGH SCHOOL,X14JG5CK2FA5,(blank),"10220 Goldenrod ST NW,Coon Rapids, Minnesota,55448-2689, United States","10220 Goldenrod ST NW,Coon Rapids, Minnesota,55448-2689, United States",,"Jul 1, 2002",['Brandon Wait'],"Minnesota, United States",Minnesota 03
Wait,"WEBBER RECREATIONAL DESIGN, INC",GGQ9SDBMES53,12T64,"1442 Brooke CT,Hastings, Minnesota,55033-3266, United States","1442 Brooke Court,Hastings , Minnesota,55033-3266, United States",,"Jan 1, 1995",['Cathy Wait'],"Minnesota, United States",Minnesota 02
