keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
Mark Franz,,,,,,,,,,,
Mark Franz,,,,,,,,,,,
Wynne-PEGLLC,"PRN ASSOCIATES, INCORPORATED",S69ZMP9NM5U9,3BXG8,"7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States","7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States",,,,,,
Wynne-PEGLLC,MCDANIEL FARMS INC,EK28CNM2ZYW8,7L4B1,"81745 Blue Mound RD,Sargent, Nebraska,68874-4117, United States","81745 Blue Mound RD,Sargent, Nebraska,68874-4117, United States",,,,,,
Wynne-PEGLLC,"SPECIAL COMMUNICATIONS, LLC",JXZVBZ8FZJL6,1QQG2,"2838 Croix CT,Virginia Beach, Virginia,23451-1365, United States","2838 Croix CT,Virginia Beach, Virginia,23451-1365, United States",,,,,,
Wynne-PEGLLC,JOURMIK LLC,ZYPETGFPAXN9,93S35,"13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States","13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States",,,,,,
Wynne-PEGLLC,"ORRS' ENVIRONMENTAL, LLC",M1LHWD15KHJ6,301F8,"7027 Old Madison Pike NW STE 108,Huntsville, Alabama,35806, United States","P.O. Box 21192,Huntsville, Alabama,35813, United States",,,,,,
James Parker,,,,"22 AVON CT,MIDDLETOWN, CT,06457-4521, USA",,,,,,,
James Parker,"MONMOUTH DAY CARE CENTER, INC.",L4A3JX47DGS5,5NM23,"9 Drs James Parker BLVD,Red Bank, New Jersey,07701-1503, United States","9 DRS. James Parker BLVD.,Red Bank, New Jersey,07701-1503, United States",,"Oct 1, 1969","MONMOUTH DAY CARE CENTER, INC. Quezada, Executive Director","MONMOUTH DAY CARE CENTER, INC. Quezada","New Jersey, United States",New Jersey 06
James Parker,,,,,,,,,,,
James Parker,MONMOUTH INTERNET CORP,E68LGSWH6US8,98K01,"10 Drs James Parker BLVD STE 110,Red Bank, New Jersey,07701-1500, United States","10 Drs James Parker BLVD STE 110,Suite 110,Red Bank, New Jersey,07701-1500, United States",https://www.monmouth.com/,"Jul 1, 2000","Belinda Hill, Accounting","Belinda Hill, Accounting","New Jersey, United States",New Jersey 06
James Parker,LUNCH BREAK,L3VRTV6SKA79,9XYZ5,"121 Drs James Parker BLVD,Red Bank, New Jersey,07701-1441, United States","121 Drs James Parker BLVD,Red Bank, New Jersey,07701-1441, United States",,"Mar 7, 1983",Wayne Greer,Wayne Greer,"New Jersey, United States",New Jersey 06
Liang Qiao,,,,"48 LIANG MA QIAO ROAD,CHAOYANG DISTRICT,BEIJING,(blank), CHN",,,,,,,
Marc Cohen,KIDS KICKING CANCER INC,DRENR9AB1SD4,37GS5,"27600 Northwestern HWY,STE 220,Southfield, Michigan,48034-8448, United States","27600 Northwestern HWY STE 220,Southfield, Michigan,48034-8448, United States",,"Nov 3, 1999","Elimelech Goldberg, Rabbi",RABBI GOLDBERG,"Michigan, United States",Michigan 12
Marc Cohen,"INSIDE OUT MEDIA, INC.",J1ZNF8D7M4N7,5LL15,"1431 Trestle Glen RD,Oakland, California,94610-1839, United States","1431 Trestle Glen Road,Oakland, California,94610-1839, United States",http://www.insideoutmedia.org/,"Dec 2, 2002",MARC SHAFFER,ARI COHEN,"California, United States",California 12
