keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
Gregg Duncan,,,,,,,,,,,
Pneuma,,,,"17 Majestic Avenue,Nashua, NH,03063, USA",,,,,,,
Pneuma,,,,"4834 LOBLOLLY DR,CANAL WINCHESTER, OH,43110, USA",,,,,,,
Pneuma,,,,"4725 W SAND LAKE RD STE 210,ORLANDO, FL,32819-9510, USA",,,,,,,
Pneuma,"PROJECT PNEUMA, INC.",UWUNLBX1YPJ3,(blank),"25 W Fayette ST,Haskins CENTER, 6TH Floor,Baltimore, Maryland,21201-3702, United States","25 W Fayette ST,Haskins CENTER, 6TH Floor,Baltimore, Maryland,21201-3702, United States",,"Mar 20, 2015","Damion Cooper, Chief Executive Officer & Founder","Damion Cooper, Chief Executive Officer & Founder","Maryland, United States",Maryland 07
Pneuma,PNEUMA CHRISTIAN CENTER INTERNATIONAL INC,G9JUCNECG4G3,9FAW9,"7345 Old Cleveland Pike,Chattanooga, Tennessee,37421-1038, United States","7345 Old Cleveland Pike,Chattanooga, Tennessee,37421-1038, United States",https://www.pneuma.org/,"Sep 1, 1996","Ivan Brown, Executive Director","Ivan Brown, Executive Director","Tennessee, United States",Tennessee 03
"RIDO, LLC",,,,"9124 Lucys Overlook Way,Ellicott City, MD,21042-1818, USA",,,,,,,
"RIDO, LLC",,,,"2441 FALCONS WAY,SAINT CHARLES, MO,63303-4200, USA",,,,,,,
"RIDO, LLC",SOUTHEAST VOCATIONAL ALLIANCE INC,EJKGRBLJSZA1,39KL9,"12727 Featherwood DR STE 130,Houston, Texas,77034-4908, United States","5450 NW Central,Suite 315,Houston, Texas,77092, United States",,"Aug 26, 2004","Nathaniel Rido, CEO","Rashun Sanders, Office Manager","Texas, United States",Texas 29
OtherWordly LLC,OTHERWORDLY LLC,DRH5TCVN98N3,9CAH3,"7804 Garland AVE,Takoma Park, Maryland,20912-7712, United States","7804 Garland AVE,Takoma Park, Maryland,20912, United States",https://www.otherwordly.com/,"Jul 14, 2022",Michael Douma,Michael Douma,"Maryland, United States",Maryland 08
Nano-campers,"PRN ASSOCIATES, INCORPORATED",S69ZMP9NM5U9,3BXG8,"7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States","7601 E 88TH PLACE, #5,Indianapolis, Indiana,46256-1299, United States",,,,,,
Nano-campers,MCDANIEL FARMS INC,EK28CNM2ZYW8,7L4B1,"81745 Blue Mound RD,Sargent, Nebraska,68874-4117, United States","81745 Blue Mound RD,Sargent, Nebraska,68874-4117, United States",,,,,,
Nano-campers,"SPECIAL COMMUNICATIONS, LLC",JXZVBZ8FZJL6,1QQG2,"2838 Croix CT,Virginia Beach, Virginia,23451-1365, United States","2838 Croix CT,Virginia Beach, Virginia,23451-1365, United States",,,,,,
Nano-campers,JOURMIK LLC,ZYPETGFPAXN9,93S35,"13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States","13-53 Sunnyside DR,Fair Lawn, New Jersey,07410-4237, United States",,,,,,
Nano-campers,"ORRS' ENVIRONMENTAL, LLC",M1LHWD15KHJ6,301F8,"7027 Old Madison Pike NW STE 108,Huntsville, Alabama,35806, United States","P.O. Box 21192,Huntsville, Alabama,35813, United States",,,,,,
SiteScan,"SITESCAN SUBSURFACE IMAGING, INC.",VCJCFLVMD3U6,04S92,"12130 Santa Margarita CT,Rancho Cucamonga, California,91730-6138, United States","12130 Santa Margarita Court,Rancho Cucamonga, California,91730, United States",,"Apr 14, 2020",Mike Hulst,Mike Hulst,"California, United States",California 35
