keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
Mynd,,,,"1545 N 18TH STREET,MILWAUKEE, WI,53205, USA",,,,,,,
Mynd,,,,"6605 LONGSHORE STREET, STE 240,DUBLIN, OH,43017-2774, USA",,,,,,,
Mynd,,,,"10675 CALLE MAR DE MARIPOSA, 1405,SAN DIEGO, CA,92130, USA",,,,,,,
Mynd,HARMONYUS MYND LLC,PY6JA2UN19D3,8EK42,"22850 Westwind DR,Richton Park, Illinois,60471-2552, United States","833 W. 15TH Place,Unit 702,Chicago, Illinois,60608, United States",,"Apr 1, 2019","Dakeda R Horton, Owner_Manager","Dakeda R Horton, Owner_Manager","Illinois, United States",Illinois 02
NAVAIR,,,,"48110 SHAW RD,PATUXENT RIVER, MD,20670-1906, USA",,,,,,,
NAVAIR,,,,"5425 WISCONSIN AVENUE SUITE 600-647,CHEVY CHASE, MD,20874, USA",,,,,,,
NAVAIR,NAVAIR-34 LLC,HT5AQ5GUJ924,9VM20,"19208 Gunnerfield LN,Germantown, Maryland,20874-1553, United States","19208 Gunnerfield Lane,Germantown, Maryland,20876, United States",,"Dec 13, 2022",Karl J Dixon,Karl J Dixon,"Maryland, United States",Maryland 06
NAVAIR,"WISE ENGINEERING CONSULTING, LLC",C3BSKMFML264,7URG4,"663 Good Shepherd WAY,Owings, Maryland,20736-3340, United States","663 Good Shepherd WAY,Owings, Maryland,20736-3340, United States",https://www.wiseengineeringconsulting.com/,"Mar 4, 2017",michael mehls,michael mehls,"Maryland, United States",Maryland 05
NAVAIR,HIL-TECH LTD.,XG7FULBW4PA8,L4132,"2119 Devon RD,Oakville, On,L6J 5L9, Canada","2119 Devon Road,Oakville, On,L6J 5L9, Canada",https://www.ledline.net/,"Sep 20, 1999","NICK HUTCHINS, Mr.",MARC HUTCHINS,"(blank), Canada",Not Applicable
Obeidi LLC,,,,,,,,,,,
Organizing4Innovation,ORGANIZING FOR INNOVATION LLC,C3LNZMNKLUG7,76YA1,"1481 John Tyler HWY,Williamsburg, Virginia,23185-7604, United States","4680-18I Monticello AVE,Pmb # 157,Williamsburg, Virginia,23188, United States",https://www.organizing4innovation.com/,"Dec 10, 2013",Floor Blindenbach,FLORIENA P BLINDENBACH-DRIESSEN,"Virginia, United States",Virginia 01
