keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
Tema LLC,GROWTHAID LBG,MT63HKYKHJ77,SPRL2,"49 Devtraco BLVD GN-0490-9445 Opposite Devtraco Police Station Community 25, Tema,Tema-accra,(blank), Ghana","49 Devtraco BLVD GN-0490-9445 Opposite Devtraco Police Station Community 25, Tema,Tema-accra, Accra,(blank), Ghana",https://www.growthaid.org/,"Apr 12, 2002","Joe Lambongang, Dr.","Joe Lambongang, Dr.","(blank), Ghana",Not Applicable
Tema LLC,TEMA K WATSON,W51AQLGBDUW5,94ZE5,"109 Papahi Loop,Kahului, Hawaii,96732-2586, United States","109 Papahi Loop,Kahului, Hawaii,96732-2586, United States",,"Apr 1, 2013","Tema K Watson, President","Tema K Watson, President","Hawaii, United States",Hawaii 02
Tema LLC,INTERNATIONAL CHILD DEVELOPMENT PROGRAMME,DYDKCJWY7G75,SQNR0,"HNO. K.29C,Lily CLOSE, COMM. 20,Tema,(blank), Ghana","HNO. K.29C,Lily CLOSE, COMM. 20,Tema, Tema,(blank), Ghana",,"Nov 20, 2012","Joyce D Larnyoh, Ms","Joyce D Larnyoh, Ms","(blank), Ghana",Not Applicable
Tema LLC,WOMEN IN MEDIA INC,VVETMJ5ZE177,9W5K6,"2851 Phelps AVE,Los Angeles, California,90032-2742, United States","2851 Phelps AVE,Los Angeles, California,90032, United States",http://www.womennmedia.com/,"Jul 11, 2017","Tema Staig, Executive Director","Tema Staig, Executive Director","California, United States",California 34
Tema LLC,"RAZAVI APPLICATION DEVELOPERS, INC.",QHTHHBTDA185,33ZU4,"14489 Store House DR,Centreville, Virginia,20121-2373, United States","14489 Store House Drive,Centreville, Virginia,20121-2373, United States",https://www.razavi.com/,"Sep 30, 1997","TEMA RAZAVI, Ms.","TEMA RAZAVI, Ms.","Virginia, United States",Virginia 11
Ionic ST,IONIC DISASTER SOLUTIONS LLC,KNA9WLMSKEU3,8PDA8,"3052 S Buchanan ST,APT B2,Arlington, Virginia,22206-1521, United States","3052 S Buchanan ST APT B2,Arlington, Virginia,22206, United States",https://www.ionicds.com/,"Jul 19, 2020","James Schumann, CEO","James Schumann, CEO","Virginia, United States",Virginia 08
Ionic ST,IONIC ERA LLC,HJ28C8XDSKP8,(blank),"15956 Bahama ST,North Hills, California,91343-3128, United States","15956 Bahama ST.,North Hills, California,91343-3128, United States",https://n/A,"Aug 20, 2018",Gevork Vartan,Gevork Vartan,"California, United States",California 32
Ionic ST,IONIC BLU LLC,UTJTVXG77BM1,(blank),"501 E Jackson ST STE 301,Tampa, Florida,33602-4929, United States","501 E Jackson ST,Suite 301,Tampa, Florida,33602, United States",,"Apr 24, 2019",Tim Diasti,Timothy Wahba,"Florida, United States",Florida 14
Ionic ST,"IONIC MINERAL TECHNOLOGIES, LLC",KJWRHTZW6NY8,9JD71,"652 S Lakeview PKWY,Bldg B,Provo, Utah,84601-3616, United States","652 S Lakeview Drive,Building B,Provo, Utah,84601, United States",https://www.ionicmt.com/,"Jul 22, 2022","Eric R Miller, CFO","Eric R Miller, CFO","Utah, United States",Utah 03
Ionic ST,IONIC MARINE SERVICES LLC,N3YYWNSMVL31,9ZY18,"3714 61ST ST,Woodside, New York,11377-2538, United States","3714 61ST ST,Woodside, New York,11377-2538, United States",,"Jul 2, 2024","Alexios Shaw, Mr","Jessica Purcell, Ms","New York, United States",New York 06
STORC,"TRAUTNER GEOTECH, L.L.C",Z9NDK8MFYXM9,5KDZ3,"649 Tech Center DR Unit A,Durango, Colorado,81301-7758, United States","649 Tech Center Drive Unit A,Durango, Colorado,81301-7758, United States",,"Nov 1, 2007","Jason Deem, Owner","Jason Deem, Owner","Colorado, United States",Colorado 03
"Weinberg Medical Physics, Inc.","WEINBERG MEDICAL PHYSICS, INC.",K5D7EN4J1FR7,504Z8,"12156 Parklawn DR,Rockville, Maryland,20852-1708, United States","12156 Parklawn Drive,North Bethesda, Maryland,20852-1708, United States",https://www.weinbergmedicalphysics.com/,"Feb 22, 2008",IRVING WEINBERG,Irving Weinberg,"Delaware, United States",Maryland 08
