keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
CRANENANO LLC,CRANENANO LLC,G36EXUPQXAG6,8GTL0,"31 Orchard DR,Gaithersburg, Maryland,20878-2225, United States","31 Orchard DR,Gaithersburg, Maryland,20878-2225, United States",,"Feb 26, 2016","MICHAEL T KIO, FOUNDER","MICHAEL T KIO, FOUNDER","Maryland, United States",Maryland 06
"Biokmir, LLC",,,,"3221 KAISER DR,ELLICOTT CITY, MD,21043-4557, USA",,,,,,,
Ovalz,,,,"7761 DIAMONDBACK RD,COLLEGE PARK, MD,20740-3240, USA",,,,,,,
Silvec Biologics,"SILVEC BIOLOGICS, INC",ZH7KBVHXP1C3,8LAV6,"200 Girard ST STE 200,Gaithersburg, Maryland,20877-3490, United States","200 Girard ST STE 200,Gaithersburg, Maryland,20877-3490, United States",https://www.silvec.com/,"Sep 12, 2019","Rafael Simon, president","Rafael Simon, president","Delaware, United States",Maryland 06
HighT-Tech LLC,"HIGHT-TECH, INC",WVBEBKJZULX5,8JY00,"4467 Technology Drive Suite 3104,College Park, Maryland,20742-0001, United States","4467 Technology Drive Suite 3104,College Park, Maryland,20742, United States",https://www.hight-tech.com/,"Mar 5, 2020","Yunhui Gong, CTO","Yunhui Gong, CTO","Delaware, United States",Maryland 04
Neopathology Corp.,,,,"4539 METROPOLITAN CT,FREDERICK, MD,21704-9452, USA",,,,,,,
LINKSciences,,,,"36 Rhodes Pl,null,Lutherville, MD,21093-3968, USA",,,,,,,
ACTIVECharge,ACTIVECHARGE LLC,KY1QMG9XBHZ9,8EFD0,"1450 S Rolling RD,Halethorpe, Maryland,21227-3863, United States","1450 S Rolling RD,Halethorpe, Maryland,21227, United States",https://activecharge.us/,"Oct 31, 2018",Pranay Kohli,Pranay Kohli,"Delaware, United States",Maryland 07
AlgenAir LLC,,,,"6024 BROAD ST,FL 2,PITTSBURGH, PA,15206-3010, USA",,,,,,,
Blimp Logistics,BLIMP LOGISTICS INC,FPN6NRF65AS1,8RL81,"9011 Gettysburg LN,College Park, Maryland,20740-4017, United States","9011 Gettysburg LN,College Park, Maryland,20740-4017, United States",https://blimplogistics.com/,"Aug 11, 2020","Camilo B Melnyk, CEO","Camilo B Melnyk, CEO","Maryland, United States",Maryland 04
Dirigible Systems,,,,"363 Buckingham Way,null,Westminster, MD,21157-4547, USA",,,,,,,
Virtual Apprentice,VIRTUAL APPRENTICE LLC,MM2US7CH16A7,8E4T9,"1 Research CT,STE 450,Rockville, Maryland,20850-6252, United States","1 Research CT STE 450,Rockville, Maryland,20850-6252, United States",https://www.virtualapprentice.net/,"Jul 11, 2019","Ellie Giles, Dr","Ellie Giles, Founder","Maryland, United States",Maryland 08
Robinson Scientifics LLC,,,,"5000 THAYER CTR STE C,null,OAKLAND, MD,21550-1139, USA",,,,,,,
Astek Diagnostics Inc.,ASTEK DIAGNOSTICS INC.,DWMKQ81LJLW1,8QMK0,"1450 S Rolling RD STE 3.019,Halethorpe, Maryland,21227-3863, United States","1450 S Rolling RD STE 3.019,Halethorpe, Maryland,21227-3863, United States",https://astekdx.com/,"May 27, 2021","Mustafa M Al-Adhami, CEO","Mustafa M Al-Adhami, CEO","Maryland, United States",Maryland 07
"Djit Medtech, Inc.","DJIT MEDTECH, INC.",KU2RRLE13PT7,9FMQ2,"1628 Bolton ST,Baltimore, Maryland,21217-5496, United States","1628 Bolton Street,Baltimore, Maryland,21217-5496, United States",https://djit-medtech.com/,"Jul 11, 2022","Marcia Hart, CEO","Marcia Hart, CEO","Maryland, United States",Maryland 07
Tri-IT Solutions,"TRI-IT SOLUTIONS, LLC",YLNASL261GA3,6H4F6,"10003 Marriottsville RD,Randallstown, Maryland,21133-1501, United States","Marian (DEE) Cutler,PO Box 283,Woodstock, Maryland,21163-1201, United States",https://www.tri-itsolutions.com/,"Mar 25, 2011","Marian (Dee) Cutler, CEO","Marian (Dee) Cutler, CEO","Maryland, United States",Maryland 02
"Weinberg Medical Physics, Inc.","WEINBERG MEDICAL PHYSICS, INC.",K5D7EN4J1FR7,504Z8,"12156 Parklawn DR,Rockville, Maryland,20852-1708, United States","12156 Parklawn Drive,North Bethesda, Maryland,20852-1708, United States",https://www.weinbergmedicalphysics.com/,"Feb 22, 2008",IRVING WEINBERG,Irving Weinberg,"Delaware, United States",Maryland 08
"SentiMetrix, Inc","SENTIMETRIX, INC.",QC8LYF3ND8A4,513B0,"6017 Southport DR,Bethesda, Maryland,20814-1847, United States","6017 Southport Drive,Bethesda, Maryland,20814-1847, United States",http://www.sentimetrix.com/,"Nov 28, 2006","VADIM KAGAN, Mr.","VADIM KAGAN, Mr.","Maryland, United States",Maryland 08
Scinetics,"SCINETICS, INC.",MWCXWZ6LWMF9,6WHS7,"2915 Islay CT,Abingdon, Maryland,21009-3140, United States","2915 Islay CT,Abingdon, Maryland,21009-3140, United States",https://www.scineticsinc.com/,"May 4, 2018","Amy E. Gair, COO","Jeffrey L Gair, CEO","Maryland, United States",Maryland 01
getGFTD,GETGFTD LLC,EB41AXEK57W3,9H9S6,"7101 Rich Hill RD,Baltimore, Maryland,21212-1623, United States","7101 Rich Hill Road,Baltimore, Maryland,21212, United States",,"Jan 1, 2019","Nina Guise-Gerrity, CEO","Nina Guise-Gerrity, CEO","Maryland, United States",Maryland 02
